Symbol,Name,Price_intraday,Change,Change_pct,YTD_Return,Three_Months_Return,One_Year_Return,Three_Year_Return,Five_Year_Return,Net_Assets,50_Day_Avg,200_Day_Avg,Morningstar Rating
GFACX,American Funds Growth Fund of Amer C,65.15,-0.03,-0.05%,+2.23%,+5.28%,+36.19%,+18.44%,+27.16%,297.679B,68.64,64.99,2 stars
CGFEX,American Funds Growth Fund of Amer 529E,73.41,-0.04,-0.05%,+2.26%,+5.43%,+36.81%,+19.00%,+27.75%,297.679B,76.86,72.50,3 stars
FFAFX,American Funds Growth Fund of Amer 529F3,75.85,-0.04,-0.05%,+30.02%,+12.75%,+37.65%,+19.69%,+28.54%,297.679B,79.54,74.90,3 stars
RGAFX,American Funds Growth Fund of Amer R5,76.07,-0.04,-0.05%,+2.27%,+5.57%,+37.57%,+19.65%,+28.48%,297.679B,79.72,75.12,3 stars
RGABX,American Funds Growth Fund of Amer R2,67.87,-0.03,-0.04%,+2.23%,+5.29%,+36.14%,+18.39%,+27.11%,297.679B,71.34,67.48,2 stars
CGFCX,American Funds Growth Fund of Amer 529C,65.25,-0.03,-0.05%,+2.22%,+5.27%,+36.10%,+18.38%,+27.09%,297.679B,68.74,65.08,2 stars
RGAAX,American Funds Growth Fund of Amer R1,66.75,-0.03,-0.04%,+2.24%,+5.28%,+36.16%,+18.40%,+27.12%,297.679B,70.23,66.45,2 stars
RGAEX,American Funds Growth Fund of Amer R4,75.14,-0.04,-0.05%,+2.26%,+5.49%,+37.17%,+19.27%,+28.10%,297.679B,78.68,74.16,3 stars
RGEBX,American Funds Growth Fund of Amer R2E,73.01,-0.03,-0.04%,+2.24%,+5.36%,+36.55%,+18.74%,+27.51%,297.679B,76.45,72.08,3 stars
GAFFX,American Funds Growth Fund of Amer F3,76.12,-0.04,-0.05%,+2.27%,+5.58%,+37.67%,+19.70%,+28.53%,297.679B,79.82,75.16,3 stars
FAFGX,American Funds Growth Fund of Amer 529F2,75.96,-0.03,-0.04%,+30.02%,+12.75%,+37.65%,+19.69%,+28.54%,297.679B,79.62,74.97,3 stars
RGACX,American Funds Growth Fund of Amer R3,73.57,-0.04,-0.05%,+2.25%,+5.41%,+36.76%,+18.93%,+27.71%,297.679B,77.01,72.63,3 stars
AGTHX,American Funds Growth Fund of Amer A,76.11,-0.04,-0.05%,+2.27%,+5.50%,+37.20%,+19.34%,+28.12%,297.679B,79.65,75.06,3 stars
GFFFX,American Funds Growth Fund of Amer F2,75.82,-0.04,-0.05%,+2.28%,+5.55%,+37.49%,+19.57%,+28.40%,297.679B,79.44,74.87,3 stars
VIGIX,Vanguard Growth Index Institutional,211.28,-1.67,-0.78%,+0.81%,+6.63%,+46.78%,+27.27%,+37.26%,284.412B,212.12,194.09,4 stars
VIGRX,Vanguard Growth Index Investor,211.33,-1.67,-0.78%,+0.81%,+6.59%,+46.60%,+27.10%,+37.08%,284.412B,212.08,194.11,4 stars
VIGAX,Vanguard Growth Index Admiral,211.27,-1.67,-0.78%,+0.81%,+6.62%,+46.77%,+27.26%,+37.23%,284.412B,212.04,194.06,4 stars
RLBBX,American Funds American Balanced R2,34.49,+0.11,+0.32%,+0.97%,+0.89%,+13.11%,+14.86%,+18.25%,236.071B,35.50,34.75,4 stars
CLBAX,American Funds American Balanced 529A,34.71,+0.10,+0.29%,+1.02%,+1.07%,+13.96%,+15.71%,+19.11%,236.071B,35.73,34.97,4 stars
FBAFX,American Funds American Balanced 529-F-2,34.79,+0.10,+0.29%,+15.83%,+5.15%,+14.37%,+16.11%,+19.55%,236.071B,35.84,35.04,5 stars
RLBAX,American Funds American Balanced R1,34.45,+0.10,+0.29%,+1.00%,+0.89%,+13.13%,+14.89%,+18.26%,236.071B,35.46,34.71,4 stars
FBONX,American Funds American Balanced 529-F-3,34.79,+0.11,+0.32%,+15.83%,+5.15%,+14.37%,+16.11%,+19.55%,236.071B,35.83,35.04,5 stars
BALCX,American Funds American Balanced C,34.49,+0.10,+0.29%,+1.00%,+0.89%,+13.12%,+14.89%,+18.27%,236.071B,35.50,34.75,4 stars
AMBFX,American Funds American Balanced F2,34.76,+0.10,+0.29%,+1.02%,+1.16%,+14.23%,+16.01%,+19.45%,236.071B,35.79,35.02,5 stars
BALFX,American Funds American Balanced F1,34.75,+0.10,+0.29%,+1.02%,+1.07%,+13.96%,+15.70%,+19.10%,236.071B,35.78,35.01,4 stars
RLBFX,American Funds American Balanced R5,34.84,+0.10,+0.29%,+1.02%,+1.14%,+14.29%,+16.08%,+19.48%,236.071B,35.87,35.10,5 stars
CLBCX,American Funds American Balanced 529C,34.76,+0.11,+0.32%,+0.96%,+0.87%,+13.10%,+14.86%,+18.27%,236.071B,35.76,35.00,4 stars
ABALX,American Funds American Balanced A,34.79,+0.10,+0.29%,+1.02%,+1.08%,+14.01%,+15.76%,+19.20%,236.071B,35.81,35.05,4 stars
RLBCX,American Funds American Balanced R3,34.56,+0.11,+0.32%,+1.00%,+1.00%,+13.61%,+15.36%,+18.77%,236.071B,35.57,34.82,4 stars
RLEFX,American Funds American Balanced R5E,34.75,+0.10,+0.29%,+1.02%,+1.12%,+14.21%,+15.97%,+19.36%,236.071B,35.80,35.01,4 stars
CLBEX,American Funds American Balanced 529E,34.69,+0.10,+0.29%,+1.02%,+1.04%,+13.69%,+15.45%,+18.86%,236.071B,35.71,34.94,4 stars
RLBGX,American Funds American Balanced R6,34.81,+0.11,+0.32%,+1.02%,+1.16%,+14.37%,+16.11%,+19.55%,236.071B,35.83,35.06,5 stars
AFMBX,American Funds American Balanced F3,34.77,+0.10,+0.29%,+1.02%,+1.16%,+14.34%,+16.13%,+19.56%,236.071B,35.83,35.03,4 stars
CLBFX,American Funds American Balanced 529F,34.66,+0.10,+0.29%,+1.02%,+1.12%,+14.14%,+15.93%,+19.37%,236.071B,35.69,34.93,4 stars
RAMHX,American Funds American Balanced R2E,34.59,+0.10,+0.29%,+1.00%,+0.96%,+13.43%,+15.21%,+18.60%,236.071B,35.63,34.85,4 stars
RLBEX,American Funds American Balanced R4,34.72,+0.10,+0.29%,+1.02%,+1.07%,+13.96%,+15.72%,+19.15%,236.071B,35.74,34.98,4 stars
VTMNX,Vanguard Developed Markets Index Instl,15.57,+0.08,+0.52%,+0.72%,-4.71%,+17.84%,+11.44%,+22.14%,191.386B,15.84,16.14,4 stars
VTMGX,Vanguard Developed Markets Index Admiral,15.54,+0.07,+0.45%,+0.72%,-4.73%,+17.67%,+11.43%,+22.05%,191.386B,15.82,16.12,4 stars
VDIPX,Vanguard Developed Markets Index Ins Pls,24.33,+0.12,+0.50%,+0.67%,-4.72%,+17.80%,+11.49%,+22.07%,191.386B,24.77,25.23,4 stars
VDVIX,Vanguard Developed Markets Index Inv,12.04,+0.06,+0.50%,+0.67%,-4.73%,+17.61%,+11.35%,+21.96%,191.386B,12.25,12.48,3 stars
WSHCX,American Funds Washington Mutual C,61.30,+0.22,+0.36%,+1.14%,+0.35%,+16.34%,+27.53%,+24.62%,189.417B,62.82,61.38,2 stars
RWMEX,American Funds Washington Mutual Investors Fund,62.01,+0.22,+0.36%,+1.16%,+0.52%,+17.18%,+28.43%,+25.48%,189.417B,63.56,62.07,3 stars
FWWMX,American Funds Washington Mutual Investors Fund,62.50,+0.22,+0.35%,+20.99%,+7.10%,+17.59%,+28.90%,+25.93%,189.417B,64.08,62.54,3 stars
RWEBX,American Funds Washington Mutual R2E,62.08,+0.22,+0.36%,+1.14%,+0.40%,+16.66%,+27.87%,+24.94%,189.417B,63.63,62.13,2 stars
CWMEX,American Funds Washington Mutual 529E,61.76,+0.23,+0.37%,+1.15%,+0.45%,+16.88%,+28.15%,+25.20%,189.417B,63.29,61.82,2 stars
CWMCX,American Funds Washington Mutual 529C,61.86,+0.22,+0.36%,+1.15%,+0.34%,+16.28%,+27.49%,+24.58%,189.417B,63.37,61.90,2 stars
WMFFX,American Funds Washington Mutual F2,62.42,+0.22,+0.35%,+1.17%,+0.58%,+17.46%,+28.77%,+25.78%,189.417B,63.98,62.47,3 stars
WSHFX,American Funds Washington Mutual F1,62.17,+0.23,+0.37%,+1.16%,+0.51%,+17.16%,+28.41%,+25.49%,189.417B,63.72,62.22,3 stars
FWMMX,American Funds Washington Mutual Investors Fund,62.51,+0.23,+0.37%,+20.99%,+7.10%,+17.59%,+28.90%,+25.93%,189.417B,64.08,62.55,3 stars
AWSHX,American Funds Washington Mutual A,62.52,+0.22,+0.35%,+1.17%,+0.54%,+17.22%,+28.50%,+25.54%,189.417B,64.07,62.56,3 stars
RWMGX,American Funds Washington Mutual Investors Fund,62.56,+0.23,+0.37%,+1.19%,+0.61%,+17.59%,+28.90%,+25.93%,189.417B,64.12,62.60,3 stars
CWMFX,American Funds Washington Mutual 529F1,62.02,+0.22,+0.36%,+1.18%,+0.57%,+17.41%,+28.66%,+25.77%,189.417B,63.58,62.09,3 stars
RWMBX,American Funds Washington Mutual R2,61.12,+0.22,+0.36%,+1.13%,+0.33%,+16.31%,+27.50%,+24.54%,189.417B,62.64,61.21,2 stars
RWMHX,American Funds Washington Mutual Investors Fund,62.36,+0.22,+0.35%,+1.17%,+0.57%,+17.41%,+28.70%,+25.74%,189.417B,63.94,62.41,3 stars
FWMIX,American Funds Washington Mutual Investors Fund,62.47,+0.22,+0.35%,+1.19%,+0.61%,+17.59%,+28.91%,+25.92%,189.417B,64.06,62.52,3 stars
RWMFX,American Funds Washington Mutual Investors Fund,62.48,+0.23,+0.37%,+1.17%,+0.59%,+17.53%,+28.84%,+25.89%,189.417B,64.04,62.53,3 stars
RWMCX,American Funds Washington Mutual Investors Fund,61.71,+0.22,+0.36%,+1.17%,+0.46%,+16.85%,+28.06%,+25.12%,189.417B,63.24,61.78,2 stars
CWMAX,American Funds Washington Mutual 529A,62.30,+0.22,+0.35%,+1.17%,+0.52%,+17.19%,+28.47%,+25.48%,189.417B,63.85,62.35,3 stars
RWMAX,American Funds Washington Mutual Investors Fund,61.54,+0.23,+0.38%,+1.12%,+0.32%,+16.33%,+27.50%,+24.55%,189.417B,63.05,61.60,2 stars
VIVIX,Vanguard Value Index I,67.72,+0.43,+0.64%,+1.91%,-1.67%,+9.26%,+26.48%,+25.83%,183.521B,68.18,65.45,4 stars
VIVAX,Vanguard Value Index Inv,67.75,+0.44,+0.65%,+1.89%,-1.72%,+9.11%,+26.31%,+25.67%,183.521B,68.18,65.47,4 stars
VVIAX,Vanguard Value Index Adm,67.72,+0.43,+0.64%,+1.89%,-1.69%,+9.24%,+26.49%,+25.82%,183.521B,68.17,65.45,4 stars
VIMAX,Vanguard Mid Cap Index Admiral,337.36,+3.50,+1.05%,+2.14%,+1.07%,+15.98%,+24.51%,+31.03%,176.867B,338.65,316.95,3 stars
VMCPX,Vanguard Mid Cap Index InstitutionalPlus,367.55,+3.82,+1.05%,+2.14%,+1.08%,+16.00%,+24.53%,+31.06%,176.867B,368.95,345.31,3 stars
VMCIX,Vanguard Mid Cap Index Institutional,74.53,+0.78,+1.06%,+2.13%,+1.07%,+16.00%,+24.53%,+31.04%,176.867B,74.83,70.02,3 stars
VIMSX,Vanguard Mid Cap Index Investor,74.38,+0.77,+1.05%,+2.14%,+1.05%,+15.84%,+24.36%,+30.86%,176.867B,74.68,69.88,3 stars
PONCX,PIMCO Income C,10.53,+0.02,+0.19%,+0.07%,-0.56%,+8.08%,+1.43%,+6.83%,171.207B,10.57,10.59,3 stars
PIMIX,PIMCO Income Fund,10.53,+0.02,+0.19%,+0.10%,-0.29%,+9.32%,+2.61%,+8.05%,171.207B,10.57,10.59,5 stars
PIINX,PIMCO Income Fund,10.53,+0.02,+0.19%,+0.09%,-0.35%,+9.05%,+2.35%,+7.78%,171.207B,10.57,10.59,4 stars
PONRX,PIMCO Income R,10.53,+0.02,+0.19%,+0.08%,-0.44%,+8.61%,+1.94%,+7.36%,171.207B,10.57,10.59,4 stars
PONAX,PIMCO Income A,10.53,+0.02,+0.19%,+0.09%,-0.38%,+8.88%,+2.20%,+7.62%,171.207B,10.57,10.59,4 stars
PIPNX,PIMCO Income Fund,10.53,+0.02,+0.19%,+0.11%,-0.31%,+9.15%,+2.45%,+7.89%,171.207B,10.57,10.59,3 stars
PIPNX,PIMCO Income Fund,10.53,+0.02,+0.19%,+0.11%,-0.31%,+9.15%,+2.45%,+7.89%,171.207B,10.57,10.59,3 stars
NAESX,Vanguard Small Cap Index Inv,118.55,+0.72,+0.61%,+2.33%,+2.84%,+18.05%,+17.59%,+27.22%,155.269B,119.44,110.94,4 stars
VSCIX,Vanguard Small Cap Index I,118.56,+0.72,+0.61%,+2.34%,+2.88%,+18.22%,+17.73%,+27.40%,155.269B,119.50,110.97,4 stars
VSMAX,Vanguard Small Cap Index Admiral Shares,118.56,+0.71,+0.60%,+2.34%,+2.88%,+18.20%,+17.73%,+27.37%,155.269B,119.47,110.96,4 stars
VSCPX,Vanguard Small Cap Index InstlPlus,342.20,+2.06,+0.61%,+2.34%,+2.88%,+18.22%,+17.75%,+27.40%,155.269B,344.82,320.26,4 stars
CICFX,American Funds Invmt Co of Amer 529F,58.07,+0.04,+0.07%,+1.24%,+2.36%,+28.64%,+25.19%,+24.72%,153.466B,60.55,58.14,4 stars
CICEX,American Funds Invmt Co of Amer 529E,57.94,+0.05,+0.09%,+1.22%,+2.26%,+28.13%,+24.65%,+24.14%,153.466B,60.39,58.00,3 stars
AICCX,American Funds Invmt Co of Amer C,57.53,+0.05,+0.09%,+1.20%,+2.12%,+27.52%,+24.07%,+23.57%,153.466B,59.98,57.61,3 stars
RICCX,American Funds Invmt Co of Amer R3,58.10,+0.04,+0.07%,+1.22%,+2.24%,+28.04%,+24.56%,+24.09%,153.466B,60.56,58.15,3 stars
RICBX,American Funds Invmt Co of Amer R2,57.82,+0.05,+0.09%,+1.19%,+2.12%,+27.47%,+24.02%,+23.53%,153.466B,60.26,57.88,3 stars
FFICX,American Funds Invmt Co of Amer F3,58.41,+0.05,+0.09%,+1.25%,+2.40%,+28.89%,+25.38%,+24.88%,153.466B,60.93,58.44,4 stars
RICGX,American Funds Invmt Co of Amer R6,58.42,+0.05,+0.09%,+1.25%,+2.41%,+28.88%,+25.40%,+24.92%,153.466B,60.89,58.46,4 stars
AIVSX,American Funds Invmt Co of Amer A,58.44,+0.05,+0.09%,+1.23%,+2.32%,+28.50%,+25.02%,+24.54%,153.466B,60.91,58.48,4 stars
CICCX,American Funds Invmt Co of Amer 529C,58.13,+0.05,+0.09%,+1.18%,+2.11%,+27.47%,+24.02%,+23.54%,153.466B,60.57,58.16,3 stars
CICAX,American Funds Invmt Co of Amer 529A,58.22,+0.05,+0.09%,+1.24%,+2.32%,+28.45%,+24.97%,+24.46%,153.466B,60.68,58.27,4 stars
RIBEX,American Funds Invmt Co of Amer R2E,58.15,+0.04,+0.07%,+1.22%,+2.20%,+27.85%,+24.41%,+23.89%,153.466B,60.65,58.19,3 stars
RICEX,American Funds Invmt Co of Amer R4,58.19,+0.04,+0.07%,+1.24%,+2.31%,+28.46%,+24.95%,+24.46%,153.466B,60.66,58.25,4 stars
ICAFX,American Funds Invmt Co of Amer F2,58.39,+0.04,+0.07%,+1.25%,+2.39%,+28.76%,+25.26%,+24.75%,153.466B,60.87,58.44,4 stars
RICAX,American Funds Invmt Co of Amer R1,57.72,+0.04,+0.07%,+1.21%,+2.13%,+27.54%,+24.05%,+23.54%,153.466B,60.17,57.79,3 stars
RICHX,American Funds Invmt Co of Amer R5E,58.36,+0.04,+0.07%,+1.25%,+2.38%,+28.69%,+25.21%,+24.72%,153.466B,60.88,58.39,4 stars
RICFX,American Funds Invmt Co of Amer R5,58.43,+0.05,+0.09%,+1.23%,+2.38%,+28.81%,+25.34%,+24.82%,153.466B,60.90,58.47,4 stars
FAOOX,American Funds Invmt Co of Amer 529-F-3,58.42,+0.05,+0.09%,+26.22%,+9.44%,+28.88%,+25.40%,+24.92%,153.466B,60.93,58.44,4 stars
FCIAX,American Funds Invmt Co of Amer 529-F-2,58.43,+0.05,+0.09%,+26.22%,+9.44%,+28.88%,+25.40%,+24.92%,153.466B,60.95,58.46,4 stars
AICFX,American Funds Invmt Co of Amer F1,58.22,+0.04,+0.07%,+1.24%,+2.31%,+28.41%,+24.93%,+24.43%,153.466B,60.69,58.27,3 stars
FCNTX,Fidelity Contrafund,21.43,-0.09,-0.42%,+2.33%,+4.44%,+39.33%,+24.36%,+29.98%,152.996B,21.68,20.43,4 stars
FCNKX,Fidelity Contrafund K,21.50,-0.09,-0.42%,+2.32%,+4.43%,+39.47%,+24.41%,+30.17%,152.996B,21.75,20.50,4 stars
RPEBX,American Funds New Perspective R2E,61.21,+0.28,+0.46%,+0.93%,+0.38%,+24.00%,+17.16%,+29.42%,142.258B,63.09,61.34,4 stars
NPFFX,American Funds New Perspective F1,62.47,+0.28,+0.45%,+0.96%,+0.49%,+24.54%,+17.66%,+29.99%,142.258B,64.46,62.69,4 stars
FNPFX,American Funds New Perspective Fund,62.99,+0.29,+0.46%,+0.97%,+0.58%,+25.03%,+18.11%,+30.46%,142.258B,65.14,63.28,4 stars
RNPBX,American Funds New Perspective R2,58.70,+0.27,+0.46%,+0.92%,+0.30%,+23.66%,+16.83%,+29.03%,142.258B,60.52,58.94,3 stars
NPFCX,American Funds New Perspective C,58.70,+0.27,+0.46%,+0.92%,+0.30%,+23.67%,+16.85%,+29.08%,142.258B,60.51,58.93,3 stars
RNPGX,American Funds New Perspective R6,63.03,+0.29,+0.46%,+0.95%,+0.56%,+25.01%,+18.10%,+30.48%,142.258B,65.15,63.34,4 stars
FNFPX,American Funds New Perspective 529-F-3,62.80,+0.29,+0.46%,+17.99%,+5.87%,+25.01%,+18.10%,+30.48%,142.258B,64.93,63.08,4 stars
CNPFX,American Funds New Perspective 529F,61.56,+0.28,+0.46%,+0.96%,+0.53%,+24.76%,+17.89%,+30.27%,142.258B,63.61,61.88,4 stars
CNPAX,American Funds New Perspective 529A,61.89,+0.28,+0.45%,+0.95%,+0.49%,+24.57%,+17.69%,+29.99%,142.258B,63.89,62.14,4 stars
ANWFX,American Funds New Perspective F2,62.67,+0.28,+0.45%,+0.97%,+0.56%,+24.89%,+17.98%,+30.34%,142.258B,64.75,62.97,4 stars
CNPEX,American Funds New Perspective 529E,61.00,+0.28,+0.46%,+0.95%,+0.43%,+24.27%,+17.42%,+29.68%,142.258B,62.90,61.19,4 stars
RNPHX,American Funds New Perspective R5E,62.31,+0.28,+0.45%,+0.96%,+0.54%,+24.84%,+17.93%,+30.30%,142.258B,64.41,62.59,4 stars
RNPFX,American Funds New Perspective R5,62.92,+0.29,+0.46%,+0.95%,+0.56%,+24.94%,+18.05%,+30.40%,142.258B,65.01,63.21,4 stars
RNPEX,American Funds New Perspective R4,61.77,+0.29,+0.47%,+0.94%,+0.47%,+24.57%,+17.70%,+30.03%,142.258B,63.76,62.02,4 stars
ANWPX,American Funds New Perspective A,62.98,+0.28,+0.45%,+0.95%,+0.50%,+24.59%,+17.73%,+30.08%,142.258B,64.99,63.19,4 stars
CNPCX,American Funds New Perspective 529C,58.47,+0.26,+0.45%,+0.92%,+0.30%,+23.60%,+16.80%,+29.01%,142.258B,60.29,58.72,3 stars
RNPCX,American Funds New Perspective R3,60.91,+0.27,+0.45%,+0.95%,+0.42%,+24.19%,+17.34%,+29.61%,142.258B,62.81,61.10,4 stars
FFPNX,American Funds New Perspective 529-F-2,62.87,+0.29,+0.46%,+17.99%,+5.87%,+25.01%,+18.10%,+30.48%,142.258B,64.98,63.14,4 stars
RNPAX,American Funds New Perspective R1,57.81,+0.26,+0.45%,+0.91%,+0.31%,+23.65%,+16.84%,+29.06%,142.258B,59.63,58.08,3 stars
FCTDX,Strategic Advisers Fidelity US TtlStk,17.60,-0.02,-0.11%,+1.61%,+2.00%,+26.72%,+25.34%,+30.00%,142.07B,18.02,17.09,4 stars
CFNEX,American Funds Fundamental Invs 529E,82.23,+0.31,+0.38%,+1.84%,+2.45%,+25.53%,+22.16%,+27.24%,140.812B,85.44,82.40,3 stars
RFNBX,American Funds Fundamental Invs R2,81.78,+0.30,+0.37%,+1.82%,+2.32%,+24.90%,+21.55%,+26.62%,140.812B,84.98,81.97,3 stars
RFEBX,American Funds Fundamental Invs R2E,81.87,+0.30,+0.37%,+1.84%,+2.40%,+25.27%,+21.89%,+27.00%,140.812B,85.14,82.05,3 stars
CFNAX,American Funds Fundamental Invs 529A,82.32,+0.30,+0.37%,+1.86%,+2.52%,+25.81%,+22.45%,+27.53%,140.812B,85.55,82.50,3 stars
AFICX,American Funds Fundamental Invs C,81.96,+0.30,+0.37%,+1.83%,+2.33%,+24.92%,+21.59%,+26.65%,140.812B,85.15,82.13,3 stars
RFNAX,American Funds Fundamental Invs R1,81.94,+0.30,+0.37%,+1.83%,+2.33%,+24.91%,+21.55%,+26.60%,140.812B,85.13,82.11,2 stars
RFNHX,American Funds Fundamental Invs R5E,82.29,+0.30,+0.37%,+1.88%,+2.57%,+26.07%,+22.71%,+27.84%,140.812B,85.59,82.46,3 stars
FEEFX,American Funds Fundamental Invs 529-F-3,82.51,+0.30,+0.36%,+24.91%,+9.15%,+26.26%,+22.88%,+28.02%,140.812B,85.82,82.68,3 stars
RFNCX,American Funds Fundamental Invs R3,82.22,+0.30,+0.37%,+1.84%,+2.43%,+25.46%,+22.08%,+27.17%,140.812B,85.44,82.40,3 stars
ANCFX,American Funds Fundamental Invs A,82.53,+0.31,+0.38%,+1.86%,+2.52%,+25.88%,+22.49%,+27.60%,140.812B,85.76,82.69,3 stars
RFNGX,American Funds Fundamental Invs R6,82.54,+0.31,+0.38%,+1.87%,+2.60%,+26.26%,+22.88%,+28.02%,140.812B,85.78,82.71,3 stars
FINFX,American Funds Fundamental Invs F2,82.47,+0.30,+0.37%,+1.87%,+2.58%,+26.15%,+22.74%,+27.87%,140.812B,85.71,82.65,3 stars
AFIFX,American Funds Fundamental Invs F1,82.47,+0.30,+0.37%,+1.86%,+2.51%,+25.79%,+22.42%,+27.53%,140.812B,85.70,82.64,3 stars
RFNFX,American Funds Fundamental Invs R5,82.62,+0.31,+0.38%,+1.87%,+2.59%,+26.20%,+22.82%,+27.95%,140.812B,85.86,82.78,3 stars
CFNCX,American Funds Fundamental Invs 529C,82.52,+0.30,+0.36%,+1.82%,+2.32%,+24.87%,+21.52%,+26.59%,140.812B,85.71,82.65,2 stars
FUNFX,American Funds Fundamental Invs F3,82.47,+0.30,+0.37%,+1.87%,+2.60%,+26.26%,+22.86%,+28.00%,140.812B,85.78,82.64,3 stars
FFXFX,American Funds Fundamental Invs 529-F-2,82.51,+0.30,+0.36%,+24.91%,+9.15%,+26.26%,+22.88%,+28.02%,140.812B,85.81,82.67,3 stars
